age,introduced,resident,radiated,dissipated,accounting_error,disturbance_introduced,disturbance_dissipated,mean_permeability,mean_coupling,organized_fraction,coupled_fraction,largest_organized_component,luminous_sites,channel_signal,channel_total,channel_fidelity,channel_balance,channel_information_bits
0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000000,0.000000000,0.000000000,0.067453302,0.000204858,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
250,385.200008750,332.561170749,0.000000000,52.638807316,0.000030684371,0.000000000,0.000000000,0.067114107,0.000177913,0.019484747,0.000000000,0.007021949,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
500,770.400017500,578.884151284,0.000000000,191.515790169,0.000076046927,0.000000000,0.000000000,0.079446910,0.000160354,0.052734375,0.000000000,0.018043155,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
750,1155.600026250,761.331841482,0.000000000,394.268075394,0.000109374149,0.000000000,0.000000000,0.096001983,0.000145881,0.093936012,0.000000000,0.032040551,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1000,1540.800035000,896.468065430,0.000000000,644.331826194,0.000143376533,0.000000000,0.000000000,0.113815448,0.000133132,0.137090774,0.000000000,0.046595982,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1250,1926.000043750,996.561412738,0.000014341,929.438460756,0.000155914229,0.000000000,0.000000015,0.130564207,0.000121663,0.181640625,0.000000000,0.061755952,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1500,2311.200052500,1068.860670787,1.915721863,1240.423490673,0.000169177340,0.000000000,0.001265748,0.145854295,0.000131091,0.226562500,0.000372024,0.076729911,45,0.179614569,0.183844718,0.976990646,0.016483508,0.622625481
1750,2696.400061250,1094.166742782,29.377828872,1572.855300410,0.000189185613,0.000000000,6.045813010,0.158399735,0.000304824,0.269484747,0.004138765,0.092075893,451,6.119600633,6.269087445,0.976154933,0.328926179,1.174433436
2000,3081.600070000,1047.297942427,66.129020784,1968.172901927,0.000204862062,0.000000000,78.619935346,0.165960781,0.000436403,0.300502232,0.007068452,0.103655134,830,17.488338056,17.984704414,0.972400639,0.633112807,1.287130499
2250,3466.800078750,1007.231103728,99.645971257,2359.922777811,0.000225954142,0.000000000,162.573594268,0.168503481,0.000482050,0.314174107,0.007905506,0.111374628,1021,27.688233851,28.531797154,0.970434274,0.745482833,1.308972344
2500,3852.000087500,994.462422184,133.383438749,2724.153986658,0.000239909089,0.000000000,226.547713635,0.169270516,0.000504203,0.319893973,0.008510045,0.113606771,1123,37.202384139,38.388549041,0.969101075,0.739397845,1.309693561
2750,4237.200096250,990.815645740,168.794612788,3077.589575240,0.000262481188,0.000000000,281.855145485,0.169613263,0.000521439,0.323009673,0.009254092,0.113978795,1206,46.913654607,48.464895106,0.967992492,0.738308320,1.307953821
3000,4622.400105000,988.588621521,205.818018111,3427.993184004,0.000281362894,0.000000000,334.932101531,0.169864349,0.000536536,0.325846354,0.009905134,0.224097842,1266,56.912248893,58.850630378,0.967062690,0.739681983,1.306237691
3250,5007.600113750,985.979455113,244.456970539,3777.163392226,0.000295872088,0.000000000,387.494378264,0.170001486,0.000554120,0.328311012,0.010370164,0.327985491,1320,67.199198613,69.544859329,0.966271257,0.742366765,1.304773050
3500,5392.800122499,983.882164630,284.756305810,4124.161338729,0.000313330144,0.000000000,438.614544838,0.170082427,0.000571822,0.329287574,0.010602679,0.328915551,1364,77.780197607,80.555336014,0.965549912,0.745972993,1.303491741
3750,5778.000131249,981.926707777,326.615777676,4469.457323069,0.000322726903,0.000000000,488.612184465,0.170068782,0.000588530,0.330310640,0.010835193,0.329845610,1399,88.637094056,91.862526300,0.964888487,0.749275088,1.302184421
4000,6163.200139999,979.206399900,369.904601366,4814.088807372,0.000331361904,0.000000000,538.648644993,0.170067304,0.000605951,0.330496652,0.011393229,0.330031622,1435,99.726859412,103.420833187,0.964282112,0.752820990,1.300906096
